Sub-region,Label,R,G,B
"Pons, motor related",PG,200,100,0
vary G value,TRN,200,100,20
,,,,
"Pons, behavioral related",CS,220,120,20
vary B value,PRN,220,120,40
,LC,220,140,0
,,,,
"Pons, sensory related",PB,220,140,20
vary R value,SOC,220,140,40
,NLL,220,140,60
,PSV,220,160,0
,,,,
Midbrain,SC,100,0,180
"Midbrain, sensory related",IC,100,0,200
vary R value,,,,
,,,,
"Midbrain, motor related",PAG,100,20,180
vary G value,III,100,20,200
,MRN,100,20,220
,SN,100,20,240
,RN,100,40,180
,,,,
"Midbrain, behavioral related",DR,100,40,240
vary B value,VTA,100,60,180
,,,,
"Medulla, sensory related",CN,220,0,120
vary R value,SPV,220,0,140
,CU,220,0,160
,NTB,220,0,180
,ECU,220,0,200
,,,,
"Medulla, motor related",XII,220,20,120
vary G value,AP,220,20,140
minimum 135,VNC,220,20,160
,NTS,220,20,180
,VII,220,20,200
,MARN,220,40,120
,AMB,220,40,140
,IO,220,40,160
,GRN,220,40,180
,IRN,220,40,200
,PARN,220,60,120
,PGRNd,220,60,200
,PGRNl,220,80,120
,PRP,220,80,140
,SPIV,220,80,160
,VI,220,80,180
,MDRNv,220,80,200
,MDRNd,220,100,120
,GR,220,100,140
,,,,
Other motor related,LRNm,220,100,180
vary B value,,,,
,,,,
"Medulla, behavioral related",RM,240,0,180
,RO,240,0,200
vary B value,,,,
